,Group,Sample,BW,dpi,BT,pred_y,CI_upper,CI_lower
143,바이러스 접종군,V12,27.65,2,37.2,25.0497940753006,25.651967017623004,24.447621132978195
144,바이러스 접종군,V13,26.83,2,37.0,24.947295877396847,25.54946881971925,24.345122935074443
145,바이러스 접종군,V14,26.0,2,36.5,24.691050382637467,25.29322332495987,24.088877440315063
146,바이러스 접종군,V15,28.59,2,37.0,24.947295877396847,25.54946881971925,24.345122935074443
147,바이러스 접종군,V1,23.39,2,35.3,24.076061195214955,24.67823413753736,23.47388825289255
148,바이러스 접종군,V2,24.0,2,35.2,24.024812096263084,24.626985038585488,23.42263915394068
149,바이러스 접종군,V3,24.61,2,36.9,24.89604677844497,25.498219720767374,24.293873836122565
150,바이러스 접종군,V4,23.63,2,36.5,24.691050382637467,25.29322332495987,24.088877440315063
151,바이러스 접종군,V5,25.56,2,36.2,24.53730308578184,25.139476028104244,23.935130143459435
152,바이러스 접종군,V6,24.57,2,37.2,25.0497940753006,25.651967017623004,24.447621132978195
153,바이러스 접종군,V7,25.85,2,37.1,24.99854497634872,25.600717918671126,24.396372034026317
154,바이러스 접종군,V8,24.34,2,36.9,24.89604677844497,25.498219720767374,24.293873836122565
155,바이러스 접종군,V9,27.75,2,38.7,25.818530559578736,26.42070350190114,25.21635761725633
156,바이러스 접종군,V10,28.12,2,37.9,25.40853776796373,26.010710710286133,24.806364825641325
157,바이러스 접종군,V11,25.18,2,37.5,25.203541372156227,25.80571431447863,24.601368429833823
158,바이러스 접종군,V12,24.73,2,37.8,25.35728866901185,25.959461611334255,24.755115726689446
159,바이러스 접종군,V13,28.73,2,37.6,25.2547904711081,25.856963413430506,24.652617528785697
160,바이러스 접종군,V14,26.23,2,37.8,25.35728866901185,25.959461611334255,24.755115726689446
161,바이러스 접종군,V15,26.78,2,37.8,25.35728866901185,25.959461611334255,24.755115726689446
162,바이러스 접종군,V1,23.39,2,35.3,24.076061195214955,24.67823413753736,23.47388825289255
163,바이러스 접종군,V2,24.0,2,35.2,24.024812096263084,24.626985038585488,23.42263915394068
164,바이러스 접종군,V3,24.61,2,36.8,24.844797679493094,25.4469706218155,24.24262473717069
165,바이러스 접종군,V4,23.63,2,36.5,24.691050382637467,25.29322332495987,24.088877440315063
