,Group,Sample,BT,dpi,BW
301,바이러스+치료제,TL6,33.3,4,15.8
302,바이러스+치료제,TL7,33.4,4,18.1
303,바이러스+치료제,TL8,29.5,4,19.0
304,바이러스+치료제,TL9,34.0,4,16.6
305,바이러스+치료제,TL10,26.8,4,21.4
306,바이러스+치료제,TL1,37.1,5,25.46
307,바이러스+치료제,TL2,36.8,5,27.1
308,바이러스+치료제,TL3,37.1,5,26.57
309,바이러스+치료제,TL4,37.1,5,24.93
310,바이러스+치료제,TL5,37.5,5,25.17
311,바이러스+치료제,TL6,35.7,5,20.86
312,바이러스+치료제,TL7,35.4,5,26.76
313,바이러스+치료제,TL8,35.3,5,26.45
314,바이러스+치료제,TL9,35.4,5,25.76
315,바이러스+치료제,TL10,35.5,5,22.58
316,바이러스+치료제,TL11,34.9,5,28.32
317,바이러스+치료제,TL12,35.6,5,25.71
318,바이러스+치료제,TL13,35.3,5,27.37
319,바이러스+치료제,TL14,35.4,5,25.62
320,바이러스+치료제,TL15,35.1,5,30.7
321,바이러스+치료제,TH4,29.8,5,19.31
322,바이러스+치료제,TH5,35.2,5,16.27
323,바이러스+치료제,TH6,33.9,5,20.74
324,바이러스+치료제,TH7,31.9,5,20.1
325,바이러스+치료제,TH8,35.7,5,21.46
326,바이러스+치료제,TH9,27.9,5,20.0
327,바이러스+치료제,TH10,24.9,5,22.1
328,바이러스+치료제,TL4,32.3,5,19.31
329,바이러스+치료제,TL5,35.6,5,20.72
330,바이러스+치료제,TL6,37.0,5,22.36
331,바이러스+치료제,TL7,31.5,5,22.78
332,바이러스+치료제,TL8,33.1,5,21.77
333,바이러스+치료제,TL9,34.8,5,20.79
334,바이러스+치료제,TL10,37.3,5,23.17
335,바이러스+치료제,TL11,31.8,5,21.2
336,바이러스+치료제,TH4,23.8,5,20.47
337,바이러스+치료제,TH5,29.3,5,20.0
338,바이러스+치료제,TH6,37.3,5,20.68
339,바이러스+치료제,TH7,36.6,5,24.19
340,바이러스+치료제,TH8,31.1,5,21.0
341,바이러스+치료제,TH9,36.1,5,23.51
342,바이러스+치료제,TH10,36.9,5,19.04
343,바이러스+치료제,TH11,36.1,5,19.02
344,바이러스+치료제,TL8,21.1,5,18.1
345,바이러스+치료제,TL6,35.6,6,20.52
346,바이러스+치료제,TL7,35.8,6,29.98
347,바이러스+치료제,TL8,36.2,6,25.58
348,바이러스+치료제,TL9,35.3,6,26.27
349,바이러스+치료제,TL10,35.8,6,21.0
350,바이러스+치료제,TL11,35.1,6,28.36
351,바이러스+치료제,TL12,35.4,6,25.32
352,바이러스+치료제,TL13,35.9,6,27.24
353,바이러스+치료제,TL14,36.1,6,25.73
354,바이러스+치료제,TL15,35.3,6,30.66
355,바이러스+치료제,TH7,23.4,6,18.59
356,바이러스+치료제,TH8,30.6,6,20.3
357,바이러스+치료제,TH9,25.4,6,18.96
358,바이러스+치료제,TH10,21.7,6,20.3
359,바이러스+치료제,TL7,21.3,6,22.1
360,바이러스+치료제,TL8,26.2,6,21.34
361,바이러스+치료제,TL9,25.5,6,19.74
362,바이러스+치료제,TL10,26.8,6,21.23
363,바이러스+치료제,TL11,23.5,6,20.03
364,바이러스+치료제,TH7,28.7,6,22.65
365,바이러스+치료제,TH8,22.6,6,20.21
366,바이러스+치료제,TH9,21.5,6,22.11
367,바이러스+치료제,TH10,28.5,6,17.96
368,바이러스+치료제,TH11,25.6,6,18.0
369,바이러스+치료제,TL6,35.4,7,20.23
370,바이러스+치료제,TL7,35.2,7,26.27
371,바이러스+치료제,TL8,34.6,7,26.0
372,바이러스+치료제,TL9,35.5,7,23.8
373,바이러스+치료제,TL10,35.9,7,19.27
374,바이러스+치료제,TL11,34.9,7,28.65
375,바이러스+치료제,TL12,34.4,7,23.23
376,바이러스+치료제,TL13,35.9,7,25.97
377,바이러스+치료제,TL14,36.1,7,25.17
378,바이러스+치료제,TL15,35.3,7,31.22
379,바이러스+치료제,TH8,19.54,7,19.54
380,바이러스+치료제,TH9,24.2,7,18.0
381,바이러스+치료제,TL7,20.5,7,21.37
382,바이러스+치료제,TL8,23.2,7,20.4
383,바이러스+치료제,TL9,19.41,7,19.41
384,바이러스+치료제,TL10,23.5,7,20.78
385,바이러스+치료제,TH7,22.2,7,21.68
386,바이러스+치료제,TH8,22.7,7,20.0
387,바이러스+치료제,TH9,21.78,7,21.78
388,바이러스+치료제,TH10,24.9,7,17.46
389,바이러스+치료제,TL11,34.9,8,25.53
390,바이러스+치료제,TL12,34.4,8,21.97
391,바이러스+치료제,TL13,36.1,8,24.02
392,바이러스+치료제,TL14,36.5,8,23.02
393,바이러스+치료제,TL15,35.0,8,28.2
394,바이러스+치료제,TL11,36.8,9,27.8
395,바이러스+치료제,TL12,35.7,9,24.53
396,바이러스+치료제,TL13,36.5,9,27.7
397,바이러스+치료제,TL14,36.8,9,24.36
398,바이러스+치료제,TL15,36.7,9,31.42
399,바이러스+치료제,TL11,37.2,10,27.85
400,바이러스+치료제,TL12,36.3,10,24.96
401,바이러스+치료제,TL13,37.2,10,27.3
402,바이러스+치료제,TL14,37.0,10,25.0
403,바이러스+치료제,TL15,36.7,10,31.02
404,바이러스+치료제,TL11,35.8,11,28.45
405,바이러스+치료제,TL12,35.4,11,25.76
406,바이러스+치료제,TL13,36.3,11,28.02
407,바이러스+치료제,TL14,36.0,11,25.37
408,바이러스+치료제,TL15,34.9,11,31.24
409,바이러스+치료제,TL11,35.9,12,28.03
410,바이러스+치료제,TL12,35.8,12,25.75
411,바이러스+치료제,TL13,36.0,12,28.01
412,바이러스+치료제,TL14,35.8,12,25.03
413,바이러스+치료제,TL15,35.7,12,31.81
414,바이러스+치료제,TL11,36.6,13,28.22
415,바이러스+치료제,TL12,35.1,13,25.99
416,바이러스+치료제,TL13,35.6,13,28.24
417,바이러스+치료제,TL14,35.5,13,25.5
418,바이러스+치료제,TL15,35.6,13,31.7
419,바이러스+치료제,TL11,37.7,14,28.89
420,바이러스+치료제,TL12,35.8,14,26.31
421,바이러스+치료제,TL13,36.6,14,28.67
422,바이러스+치료제,TL14,36.5,14,25.65
423,바이러스+치료제,TL15,36.0,14,31.65
