,Group,Sample,BT,dpi,BW,pred_y,CI_lower,CI_upper
275,바이러스+치료제,TL9,35.5,4,22.64,24.178559393118707,24.01064492026147,24.346473865975945
235,바이러스+치료제,TL4,35.5,3,22.19,24.178559393118707,24.01064492026147,24.346473865975945
164,바이러스+치료제,TH2,35.5,2,22.36,24.178559393118707,24.01064492026147,24.346473865975945
292,바이러스+치료제,TL11,35.5,4,22.36,24.178559393118707,24.01064492026147,24.346473865975945
203,바이러스+치료제,TL8,35.5,2,23.5,24.178559393118707,24.01064492026147,24.346473865975945
15,바이러스+치료제,TL1,35.5,0,26.79,24.178559393118707,24.01064492026147,24.346473865975945
75,바이러스+치료제,TL7,35.5,1,26.22,24.178559393118707,24.01064492026147,24.346473865975945
76,바이러스+치료제,TL8,35.5,1,26.0,24.178559393118707,24.01064492026147,24.346473865975945
315,바이러스+치료제,TL10,35.5,5,22.58,24.178559393118707,24.01064492026147,24.346473865975945
67,바이러스+치료제,TL9,35.5,0,23.1,24.178559393118707,24.01064492026147,24.346473865975945
372,바이러스+치료제,TL9,35.5,7,23.8,24.178559393118707,24.01064492026147,24.346473865975945
417,바이러스+치료제,TL14,35.5,13,25.5,24.178559393118707,24.01064492026147,24.346473865975945
72,바이러스+치료제,TL4,35.6,1,23.65,24.229808492070585,24.061725852850444,24.397891131290727
73,바이러스+치료제,TL5,35.6,1,25.24,24.229808492070585,24.061725852850444,24.397891131290727
251,바이러스+치료제,TL6,35.6,3,17.4,24.229808492070585,24.061725852850444,24.397891131290727
263,바이러스+치료제,TL8,35.6,4,26.47,24.229808492070585,24.061725852850444,24.397891131290727
221,바이러스+치료제,TL5,35.6,3,22.68,24.229808492070585,24.061725852850444,24.397891131290727
416,바이러스+치료제,TL13,35.6,13,28.24,24.229808492070585,24.061725852850444,24.397891131290727
317,바이러스+치료제,TL12,35.6,5,25.71,24.229808492070585,24.061725852850444,24.397891131290727
418,바이러스+치료제,TL15,35.6,13,31.7,24.229808492070585,24.061725852850444,24.397891131290727
345,바이러스+치료제,TL6,35.6,6,20.52,24.229808492070585,24.061725852850444,24.397891131290727
201,바이러스+치료제,TL6,35.6,2,18.0,24.229808492070585,24.061725852850444,24.397891131290727
329,바이러스+치료제,TL5,35.6,5,20.72,24.229808492070585,24.061725852850444,24.397891131290727
243,바이러스+치료제,TH4,35.7,3,24.64,24.281057591022464,24.112666503540467,24.44944867850446
395,바이러스+치료제,TL12,35.7,9,24.53,24.281057591022464,24.112666503540467,24.44944867850446
41,바이러스+치료제,TL5,35.7,0,27.46,24.281057591022464,24.112666503540467,24.44944867850446
250,바이러스+치료제,TH11,35.7,3,22.54,24.281057591022464,24.112666503540467,24.44944867850446
311,바이러스+치료제,TL6,35.7,5,20.86,24.281057591022464,24.112666503540467,24.44944867850446
325,바이러스+치료제,TH8,35.7,5,21.46,24.281057591022464,24.112666503540467,24.44944867850446
265,바이러스+치료제,TL10,35.7,4,22.46,24.281057591022464,24.112666503540467,24.44944867850446
217,바이러스+치료제,TL12,35.7,3,25.62,24.281057591022464,24.112666503540467,24.44944867850446
413,바이러스+치료제,TL15,35.7,12,31.81,24.281057591022464,24.112666503540467,24.44944867850446
242,바이러스+치료제,TL11,35.8,3,25.4,24.332306689974335,24.163467641163322,24.501145738785347
256,바이러스+치료제,TL1,35.8,4,26.18,24.332306689974335,24.163467641163322,24.501145738785347
151,바이러스+치료제,TL14,35.8,2,25.22,24.332306689974335,24.163467641163322,24.501145738785347
410,바이러스+치료제,TL12,35.8,12,25.75,24.332306689974335,24.163467641163322,24.501145738785347
269,바이러스+치료제,TL14,35.8,4,25.51,24.332306689974335,24.163467641163322,24.501145738785347
186,바이러스+치료제,TH2,35.8,2,25.01,24.332306689974335,24.163467641163322,24.501145738785347
276,바이러스+치료제,TL10,35.8,4,22.79,24.332306689974335,24.163467641163322,24.501145738785347
80,바이러스+치료제,TL12,35.8,1,26.02,24.332306689974335,24.163467641163322,24.501145738785347
187,바이러스+치료제,TH3,35.8,2,23.04,24.332306689974335,24.163467641163322,24.501145738785347
412,바이러스+치료제,TL14,35.8,12,25.03,24.332306689974335,24.163467641163322,24.501145738785347
349,바이러스+치료제,TL10,35.8,6,21.0,24.332306689974335,24.163467641163322,24.501145738785347
346,바이러스+치료제,TL7,35.8,6,29.98,24.332306689974335,24.163467641163322,24.501145738785347
420,바이러스+치료제,TL12,35.8,14,26.31,24.332306689974335,24.163467641163322,24.501145738785347
404,바이러스+치료제,TL11,35.8,11,28.45,24.332306689974335,24.163467641163322,24.501145738785347
254,바이러스+치료제,TL9,35.8,3,18.9,24.332306689974335,24.163467641163322,24.501145738785347
409,바이러스+치료제,TL11,35.9,12,28.03,24.383555788926213,24.21413037233436,24.552981205518066
226,바이러스+치료제,TL10,35.9,3,26.0,24.383555788926213,24.21413037233436,24.552981205518066
240,바이러스+치료제,TL9,35.9,3,24.12,24.383555788926213,24.21413037233436,24.552981205518066
245,바이러스+치료제,TH6,35.9,3,23.35,24.383555788926213,24.21413037233436,24.552981205518066
206,바이러스+치료제,TL1,35.9,3,26.0,24.383555788926213,24.21413037233436,24.552981205518066
257,바이러스+치료제,TL2,35.9,4,26.83,24.383555788926213,24.21413037233436,24.552981205518066
74,바이러스+치료제,TL6,35.9,1,19.84,24.383555788926213,24.21413037233436,24.552981205518066
300,바이러스+치료제,TH11,35.9,4,20.15,24.383555788926213,24.21413037233436,24.552981205518066
376,바이러스+치료제,TL13,35.9,7,25.97,24.383555788926213,24.21413037233436,24.552981205518066
352,바이러스+치료제,TL13,35.9,6,27.24,24.383555788926213,24.21413037233436,24.552981205518066
373,바이러스+치료제,TL10,35.9,7,19.27,24.383555788926213,24.21413037233436,24.552981205518066
40,바이러스+치료제,TL4,35.9,0,25.01,24.383555788926213,24.21413037233436,24.552981205518066
261,바이러스+치료제,TL6,35.9,4,21.0,24.383555788926213,24.21413037233436,24.552981205518066
286,바이러스+치료제,TL5,35.9,4,21.72,24.383555788926213,24.21413037233436,24.552981205518066
152,바이러스+치료제,TL15,35.9,2,30.66,24.383555788926213,24.21413037233436,24.552981205518066
78,바이러스+치료제,TL10,35.9,1,21.21,24.383555788926213,24.21413037233436,24.552981205518066
29,바이러스+치료제,TH4,35.9,0,25.55,24.383555788926213,24.21413037233436,24.552981205518066
268,바이러스+치료제,TL13,35.9,4,27.74,24.383555788926213,24.21413037233436,24.552981205518066
207,바이러스+치료제,TL2,36.0,3,27.0,24.434804887878087,24.26465612797924,24.604953647776934
219,바이러스+치료제,TL14,36.0,3,25.43,24.434804887878087,24.26465612797924,24.604953647776934
280,바이러스+치료제,TH6,36.0,4,21.69,24.434804887878087,24.26465612797924,24.604953647776934
411,바이러스+치료제,TL13,36.0,12,28.01,24.434804887878087,24.26465612797924,24.604953647776934
423,바이러스+치료제,TL15,36.0,14,31.65,24.434804887878087,24.26465612797924,24.604953647776934
407,바이러스+치료제,TL14,36.0,11,25.37,24.434804887878087,24.26465612797924,24.604953647776934
51,바이러스+치료제,TH4,36.0,0,25.21,24.434804887878087,24.26465612797924,24.604953647776934
262,바이러스+치료제,TL7,36.0,4,27.02,24.434804887878087,24.26465612797924,24.604953647776934
249,바이러스+치료제,TH10,36.0,3,22.17,24.434804887878087,24.26465612797924,24.604953647776934
52,바이러스+치료제,TH5,36.0,0,27.19,24.434804887878087,24.26465612797924,24.604953647776934
32,바이러스+치료제,TH7,36.1,0,25.48,24.486053986829965,24.315046646265927,24.657061327394004
149,바이러스+치료제,TL12,36.1,2,25.8,24.486053986829965,24.315046646265927,24.657061327394004
82,바이러스+치료제,TL14,36.1,1,25.49,24.486053986829965,24.315046646265927,24.657061327394004
353,바이러스+치료제,TL14,36.1,6,25.73,24.486053986829965,24.315046646265927,24.657061327394004
391,바이러스+치료제,TL13,36.1,8,24.02,24.486053986829965,24.315046646265927,24.657061327394004
341,바이러스+치료제,TH9,36.1,5,23.51,24.486053986829965,24.315046646265927,24.657061327394004
377,바이러스+치료제,TL14,36.1,7,25.17,24.486053986829965,24.315046646265927,24.657061327394004
343,바이러스+치료제,TH11,36.1,5,19.02,24.486053986829965,24.315046646265927,24.657061327394004
197,바이러스+치료제,TL2,36.1,2,23.4,24.486053986829965,24.315046646265927,24.657061327394004
198,바이러스+치료제,TL3,36.1,2,23.9,24.486053986829965,24.315046646265927,24.657061327394004
205,바이러스+치료제,TL10,36.2,2,25.8,24.53730308578184,24.36530395240515,24.70930221915853
230,바이러스+치료제,TH6,36.2,3,24.0,24.53730308578184,24.36530395240515,24.70930221915853
347,바이러스+치료제,TL8,36.2,6,25.58,24.53730308578184,24.36530395240515,24.70930221915853
234,바이러스+치료제,TH10,36.2,3,26.73,24.53730308578184,24.36530395240515,24.70930221915853
253,바이러스+치료제,TL8,36.2,3,20.6,24.53730308578184,24.36530395240515,24.70930221915853
293,바이러스+치료제,TH4,36.2,4,20.99,24.53730308578184,24.36530395240515,24.70930221915853
211,바이러스+치료제,TL6,36.2,3,20.31,24.53730308578184,24.36530395240515,24.70930221915853
33,바이러스+치료제,TH8,36.2,0,25.76,24.53730308578184,24.36530395240515,24.70930221915853
204,바이러스+치료제,TL9,36.2,2,19.8,24.53730308578184,24.36530395240515,24.70930221915853
189,바이러스+치료제,TH5,36.2,2,25.39,24.53730308578184,24.36530395240515,24.70930221915853
141,바이러스+치료제,TL4,36.2,2,24.0,24.53730308578184,24.36530395240515,24.70930221915853
147,바이러스+치료제,TL10,36.2,2,21.53,24.53730308578184,24.36530395240515,24.70930221915853
150,바이러스+치료제,TL13,36.2,2,27.21,24.53730308578184,24.36530395240515,24.70930221915853
148,바이러스+치료제,TL11,36.2,2,28.14,24.53730308578184,24.36530395240515,24.70930221915853
290,바이러스+치료제,TL9,36.3,4,22.0,24.588552184733715,24.415430335847574,24.761674033619855
244,바이러스+치료제,TH5,36.3,3,24.18,24.588552184733715,24.415430335847574,24.761674033619855
55,바이러스+치료제,TH8,36.3,0,24.67,24.588552184733715,24.415430335847574,24.761674033619855
283,바이러스+치료제,TH9,36.3,4,20.84,24.588552184733715,24.415430335847574,24.761674033619855
252,바이러스+치료제,TL7,36.3,3,20.3,24.588552184733715,24.415430335847574,24.761674033619855
238,바이러스+치료제,TL7,36.3,3,26.02,24.588552184733715,24.415430335847574,24.761674033619855
154,바이러스+치료제,TL2,36.3,2,24.33,24.588552184733715,24.415430335847574,24.761674033619855
176,바이러스+치료제,TL3,36.3,2,22.0,24.588552184733715,24.415430335847574,24.761674033619855
