,Group,Sample,BW,dpi,BT,pred_y,CI_lower,CI_upper
163,바이러스 접종군,V2,24.0,2,35.2,24.024812096263084,23.86666381410529,24.182960378420876
265,바이러스 접종군,V2,24.74,4,35.2,24.024812096263084,23.86666381410529,24.182960378420876
148,바이러스 접종군,V2,24.0,2,35.2,24.024812096263084,23.86666381410529,24.182960378420876
302,바이러스 접종군,V9,24.0,4,35.2,24.024812096263084,23.86666381410529,24.182960378420876
287,바이러스 접종군,V9,24.0,4,35.2,24.024812096263084,23.86666381410529,24.182960378420876
459,바이러스 접종군,V8,20.3,6,35.2,24.024812096263084,23.86666381410529,24.182960378420876
180,바이러스 접종군,V9,19.4,2,35.2,24.024812096263084,23.86666381410529,24.182960378420876
329,바이러스 접종군,V10,24.2,4,35.3,24.076061195214955,23.917722699503035,24.234399690926875
326,바이러스 접종군,V7,22.1,4,35.3,24.076061195214955,23.917722699503035,24.234399690926875
147,바이러스 접종군,V1,23.39,2,35.3,24.076061195214955,23.917722699503035,24.234399690926875
344,바이러스 접종군,V15,28.75,5,35.3,24.076061195214955,23.917722699503035,24.234399690926875
345,바이러스 접종군,V1,28.75,5,35.3,24.076061195214955,23.917722699503035,24.234399690926875
346,바이러스 접종군,V2,28.75,5,35.3,24.076061195214955,23.917722699503035,24.234399690926875
347,바이러스 접종군,V3,28.75,5,35.3,24.076061195214955,23.917722699503035,24.234399690926875
348,바이러스 접종군,V4,28.75,5,35.3,24.076061195214955,23.917722699503035,24.234399690926875
349,바이러스 접종군,V5,28.75,5,35.3,24.076061195214955,23.917722699503035,24.234399690926875
162,바이러스 접종군,V1,23.39,2,35.3,24.076061195214955,23.917722699503035,24.234399690926875
551,바이러스 접종군,V15,28.14,12,35.3,24.076061195214955,23.917722699503035,24.234399690926875
328,바이러스 접종군,V9,26.2,4,35.4,24.127310294166836,23.96866941064984,24.285951177683827
358,바이러스 접종군,V14,21.88,5,35.4,24.127310294166836,23.96866941064984,24.285951177683827
467,바이러스 접종군,V6,29.41,7,35.4,24.127310294166836,23.96866941064984,24.285951177683827
49,바이러스 접종군,V10,24.8,0,35.4,24.127310294166836,23.96866941064984,24.285951177683827
210,바이러스 접종군,V13,27.19,3,35.5,24.178559393118707,24.01950458732624,24.33761419891117
271,바이러스 접종군,V8,23.56,4,35.5,24.178559393118707,24.01950458732624,24.33761419891117
275,바이러스 접종군,V12,27.8,4,35.5,24.178559393118707,24.01950458732624,24.33761419891117
217,바이러스 접종군,V5,28.99,3,35.5,24.178559393118707,24.01950458732624,24.33761419891117
212,바이러스 접종군,V15,28.99,3,35.5,24.178559393118707,24.01950458732624,24.33761419891117
216,바이러스 접종군,V4,28.99,3,35.5,24.178559393118707,24.01950458732624,24.33761419891117
213,바이러스 접종군,V1,28.99,3,35.5,24.178559393118707,24.01950458732624,24.33761419891117
214,바이러스 접종군,V2,28.99,3,35.5,24.178559393118707,24.01950458732624,24.33761419891117
327,바이러스 접종군,V8,22.8,4,35.5,24.178559393118707,24.01950458732624,24.33761419891117
